"","window","news","blogs"
"75","2015-09-14..2015-09-19",0.737011506719633,0.643758748942168
"76","2015-09-15..2015-09-20",0.773020284240243,0.621040303774516
"77","2015-09-16..2015-09-21",0.800551845986459,0.628553470620035
"78","2015-09-17..2015-09-22",0.800010476290539,0.620138394479125
"79","2015-09-18..2015-09-23",0.799196671904474,0.595969948308741
"80","2015-09-19..2015-09-24",0.785799562399499,0.580971516558481
"81","2015-09-20..2015-09-25",0.676804166450301,0.604852275355717
"82","2015-09-21..2015-09-26",0.616218374244017,0.583393279065091
"83","2015-09-22..2015-09-27",0.578517980724276,0.638361521094461
"84","2015-09-23..2015-09-28",0.593462430432207,0.630604283269265
"85","2015-09-24..2015-09-29",0.641004342735169,0.668902148302187
"86","2015-09-25..2015-09-30",0.682381987395912,0.67069139645902
"87","2015-09-26..2015-10-01",0.72503580719307,0.657824322461855
"88","2015-09-27..2015-10-02",0.721200600967208,0.67862667381473
"89","2015-09-28..2015-10-03",0.643111129891397,0.581679696609808
"90","2015-09-29..2015-10-04",0.713852547957057,0.590010875747921
"91","2015-09-30..2015-10-05",NA,NA
