"window","newsExclusive","common","blogsExclusive"
"2015-08-31..2015-09-05",0.811500503961129,0.52033269324715,0.882134389921954
"2015-09-01..2015-09-06",0.728824814623093,0.568704321758042,0.836677076420167
"2015-09-02..2015-09-07",0.742486775446725,0.573571749921391,0.843831717569519
"2015-09-03..2015-09-08",0.754274810794738,0.558527284256386,0.871382917328618
"2015-09-04..2015-09-09",0.751986333874282,0.560080739760648,0.905811806481047
"2015-09-05..2015-09-10",0.763512317545993,0.481032700034839,0.884082653309536
"2015-09-06..2015-09-11",0.724583823526374,0.476358065799113,0.893656807042984
"2015-09-07..2015-09-12",0.761476906396583,0.672017305912136,0.903908160800103
"2015-09-08..2015-09-13",0.805620304573944,0.668901187844189,0.883362680750726
"2015-09-09..2015-09-14",0.778828569511063,0.616499396853169,0.818126869901513
"2015-09-10..2015-09-15",0.76971879725662,0.595488645973652,0.817847708945797
"2015-09-11..2015-09-16",0.785131925158042,0.592173152532657,0.832256837680861
"2015-09-12..2015-09-17",0.78003228948307,0.592481473780484,0.789220439205574
"2015-09-13..2015-09-18",0.724668805281847,0.487818172504072,0.771773802457806
"2015-09-14..2015-09-19",0.761470264407524,0.50216977664733,0.792120306896401
"2015-09-15..2015-09-20",0.806826480648532,0.507581601235987,0.811100565851624
"2015-09-16..2015-09-21",0.828345808075096,0.507742769477471,0.818035197046072
"2015-09-17..2015-09-22",0.82779644326032,0.537713048313123,0.846549763107444
"2015-09-18..2015-09-23",0.839762590989731,0.574569364105966,0.862025150698737
"2015-09-19..2015-09-24",0.848074372728604,0.526944601958088,0.858682735099935
"2015-09-20..2015-09-25",0.80538778494954,0.480087169530693,0.900736313447208
"2015-09-21..2015-09-26",0.805591185168167,0.484486718626009,0.876128597917415
"2015-09-22..2015-09-27",0.846543287437889,0.493947987656777,0.875899425459747
"2015-09-23..2015-09-28",0.854668588717834,0.418179790751623,0.874723822913753
"2015-09-24..2015-09-29",0.860632176801054,0.512789400234056,0.854231264109888
"2015-09-25..2015-09-30",0.873749173317994,0.514146646068838,0.828432407051883
"2015-09-26..2015-10-01",0.856181871666328,0.560526093819241,0.826197866993362
"2015-09-27..2015-10-02",0.82502012470685,0.544841933339075,0.798154733515294
"2015-09-28..2015-10-03",0.700359231656904,0.469032538914972,0.703067462643794
"2015-09-29..2015-10-04",0.731204486502215,0.509992479785757,0.710181451528466
"2015-09-30..2015-10-05",0,0.551966758527878,0
